Model,Mape_Train,Mape_Test
1,0.2073860815325627,0.21510216188450476
2,0.1945530961622082,0.1973360952350214
3,0.19411624646358627,0.19747718199564007
4,0.19283254868087993,0.19843059295950544
5,0.19550352983928565,0.20138199386426273
6,0.19732849081860096,0.2032922971394234
